[DEBUG @ 01:37:59 | IPA/LibraryLoader] Resolving library 0Harmony, Version=2.10.2.0, Culture=neutral, PublicKeyToken=null
[DEBUG @ 01:37:59 | IPA] Initializing logger
[DEBUG @ 01:37:59 | IPA/LibraryLoader] Looking for file 0Harmony.dll
[DEBUG @ 01:37:59 | IPA/LibraryLoader] Found file 0Harmony.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\0Harmony.dll
[DEBUG @ 01:37:59 | IPA/LibraryLoader] Resolving library Hive.Versioning, Version=0.1.0.0, Culture=neutral, PublicKeyToken=null
[DEBUG @ 01:37:59 | IPA/LibraryLoader] Looking for file Hive.Versioning.dll
[DEBUG @ 01:37:59 | IPA/LibraryLoader] Found file Hive.Versioning.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\Hive.Versioning.dll
[DEBUG @ 01:38:00 | IPA/LibraryLoader] Resolving library SemVer, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[DEBUG @ 01:38:00 | IPA/LibraryLoader] Looking for file SemVer.dll
[DEBUG @ 01:38:00 | IPA/LibraryLoader] Found file SemVer.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\SemVer.dll
[DEBUG @ 01:38:00 | IPA/Config] Generated impl ReadFrom IPA.Config.SelfConfig<Generated>
[DEBUG @ 01:38:01 | IPA] SelfConfig Changed called
[DEBUG @ 01:38:01 | IPA/Config] Generated impl WriteTo IPA.Config.SelfConfig<Generated>
[DEBUG @ 01:38:01 | IPA/Config] Generated impl ReadFrom IPA.Loader.DisabledConfig<Generated>
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Resolving library Mono.Cecil, Version=0.11.5.0, Culture=neutral, PublicKeyToken=50cebf1cceb9d05e
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Looking for file Mono.Cecil.dll
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Found file Mono.Cecil.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\Mono.Cecil.dll
[DEBUG @ 01:38:01 | IPA] Configuring exit handlers
[DEBUG @ 01:38:01 | IPA/Injector] Prepping bootstrapper
[DEBUG @ 01:38:01 | IPA] GameVersion set early to 1.38.0
[DEBUG @ 01:38:01 | IPA] SelfConfig Changed called
[DEBUG @ 01:38:01 | IPA/Config] Generated impl WriteTo IPA.Loader.DisabledConfig<Generated>
[DEBUG @ 01:38:01 | IPA/Config] Generated impl WriteTo IPA.Config.SelfConfig<Generated>
[DEBUG @ 01:38:01 | IPA/Injector] Finding backup
[DEBUG @ 01:38:01 | IPA/Injector] Ensuring patch on UnityEngine.CoreModule exists
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Resolving library Ionic.Zip, Version=1.9.1.8, Culture=neutral, PublicKeyToken=edbe51ad942a3f5c
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Looking for file Ionic.Zip.dll
[DEBUG @ 01:38:01 | IPA/LibraryLoader] Found file Ionic.Zip.dll as A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Libs\Ionic.Zip.dll
[INFO @ 01:38:01 | IPA/Injector] Installing bootstrapper took 00:00:00.4756039
[DEBUG @ 01:38:01 | IPA/AntiMalware] Antimalware engine initialized with IPA.AntiMalware.WindowsWin32AntiMalware
[DEBUG @ 01:38:01 | IPA] Compressing log file A:\!BSManager\Installed Versions\BSManager\BSInstances\1.38.0\Logs\2025.04.12.01.23.04.log
[INFO @ 01:38:02 | IPA] Configuring permissions took 00:00:00.0243498
[DEBUG @ 01:38:03 | IPA/Loader] Adding info for AdBlocker.dll
[DEBUG @ 01:38:03 | IPA/Loader] Adding info for AssetBundleLoadingTools.dll
[WARNING @ 01:38:04 | IPA/Loader/Features] Encountered old features used. They no longer do anything, please move to the new format.
[DEBUG @ 01:38:04 | IPA/Loader] Adding info for BeatLeader.dll
[DEBUG @ 01:38:04 | IPA/Loader] Adding info for BeatSaverUpdater.dll
[DEBUG @ 01:38:04 | IPA/Loader] Adding info for BeatSaverVoting.dll
